student_id,course_category,login_frequency_per_week,avg_session_minutes,course_progress_percent,assignments_completed,quiz_average_score,forum_interactions,video_watch_percent,device_type,dropout_risk
158,AI & ML,9,83,76,2,82.85,34,83,Tablet,Medium
159,Data Science,9,67,56,9,84.16,6,62,Tablet,Low
160,Business,8,103,46,1,48.3,5,77,Mobile,Low
161,Business,5,128,53,5,97.97,25,60,Tablet,High
162,Data Science,1,136,2,7,89.26,0,100,Mobile,High
163,AI & ML,9,178,52,3,52.27,18,87,Desktop,Low
164,Data Science,1,34,83,8,51.17,6,58,Desktop,Medium
165,Business,8,87,30,11,47.54,35,20,Tablet,Low
166,Programming,5,108,68,11,48.3,11,60,Tablet,High
167,Design,3,125,87,7,84.89,19,64,Mobile,High
168,Business,11,57,32,6,68.18,22,98,Tablet,High
169,Data Science,7,19,71,6,86.98,24,100,Tablet,High
170,Design,7,108,87,2,84.78,29,32,Tablet,High
171,Data Science,9,20,49,5,76.28,28,90,Desktop,Low
172,Data Science,7,94,83,4,81.18,30,28,Tablet,High
173,Programming,13,158,15,0,41.1,17,82,Tablet,Medium
174,Design,11,144,75,10,58.71,40,42,Desktop,High
175,Design,14,135,76,2,78.27,18,73,Desktop,Medium
176,Programming,3,73,38,11,40.56,3,66,Desktop,Low
177,Business,11,11,88,0,41.98,0,58,Desktop,Medium
178,Data Science,13,85,45,3,91.11,40,45,Tablet,Medium
179,AI & ML,14,130,95,9,81.04,14,20,Tablet,Low
180,Data Science,13,51,87,2,55.92,7,33,Tablet,Low
181,Data Science,1,63,46,10,81.28,14,93,Mobile,Medium
182,Business,8,84,43,3,87.55,14,84,Desktop,Low
183,Data Science,12,25,8,8,58.41,49,88,Tablet,Low
184,Programming,3,27,86,2,42.16,38,86,Tablet,Low
185,Programming,12,99,49,11,95.97,21,68,Tablet,High
186,Design,8,153,76,5,60.71,17,69,Desktop,Medium
187,AI & ML,8,15,59,5,46.39,15,77,Desktop,Low
188,Data Science,13,117,95,6,69.51,1,72,Desktop,Medium
189,Data Science,5,57,14,8,86.11,35,76,Tablet,Medium
190,Business,13,51,35,11,53.3,19,37,Desktop,Low
191,Programming,12,85,62,6,56.17,15,35,Tablet,Low
192,AI & ML,13,86,68,0,54.56,2,21,Mobile,Medium
193,Design,1,141,85,7,99.5,29,32,Desktop,Low
194,Programming,13,139,79,4,51.84,1,64,Desktop,Medium
195,Design,10,68,40,8,74.53,34,99,Tablet,Low
196,Business,7,164,73,9,95.52,25,91,Desktop,Low
197,Business,12,36,23,11,48.81,4,62,Desktop,High
198,Data Science,10,88,81,4,98.25,1,91,Tablet,Low
199,AI & ML,5,81,48,4,96.85,19,73,Tablet,Medium
200,Design,8,16,17,11,93.07,33,93,Tablet,Low
201,Programming,9,120,6,11,52.87,33,50,Mobile,Low
202,Business,11,128,3,1,78.04,19,95,Tablet,Low
203,Data Science,14,72,89,11,85.65,49,28,Desktop,Low
204,Data Science,7,133,68,10,99.16,24,92,Mobile,Low
205,Design,14,21,59,2,50.83,19,67,Tablet,Low
206,Business,13,150,54,9,85.96,24,37,Mobile,Medium
207,AI & ML,7,52,15,8,60.33,13,30,Mobile,Medium
208,Business,1,26,98,6,50.54,46,81,Desktop,Low
209,Design,4,72,89,0,65.28,43,38,Mobile,High
210,Design,2,129,81,2,87.63,42,93,Tablet,Low
211,Business,2,45,28,11,67.89,42,43,Mobile,Low
212,Design,2,17,22,1,72.25,38,32,Mobile,Medium
213,Business,4,78,13,0,99.71,11,65,Desktop,Low
214,Programming,14,99,78,8,63.95,47,72,Desktop,Low
215,Business,1,45,48,7,76.92,4,48,Tablet,Low
216,Business,4,37,32,4,61.91,1,55,Desktop,High
217,Design,2,127,24,10,63.57,15,90,Tablet,Medium
218,Design,5,102,20,11,81.74,29,36,Tablet,Low
219,Data Science,3,85,16,1,96.27,46,67,Desktop,Low
220,Data Science,12,110,22,0,72.54,42,96,Mobile,High
221,Programming,8,167,56,6,86.1,37,43,Desktop,Medium
222,Data Science,4,160,80,10,45.35,44,73,Mobile,Low
223,Business,1,153,57,10,52.67,41,20,Mobile,Low
224,Design,1,23,13,1,70.13,23,98,Tablet,Low
225,Data Science,12,80,92,0,41.2,29,86,Tablet,Medium
226,Data Science,10,133,19,1,55.17,36,25,Desktop,High
227,Programming,3,134,29,6,71.04,38,97,Mobile,Low
228,Programming,9,46,18,6,40.9,10,74,Desktop,Low
229,Business,7,38,52,9,55.87,13,57,Tablet,High
230,Design,2,152,55,5,70.84,22,52,Mobile,Medium
231,Programming,13,28,76,4,74.39,15,27,Desktop,Medium
232,Data Science,9,115,81,2,95.55,49,98,Desktop,Low
233,Design,10,30,22,11,78.72,20,97,Tablet,Medium
234,Design,2,73,61,2,64.88,3,39,Tablet,Medium
235,Data Science,3,174,32,10,95.82,32,74,Tablet,Low
236,Programming,11,36,17,11,87.09,46,67,Tablet,High
237,Data Science,13,64,72,8,52.0,13,75,Desktop,High
238,Design,10,38,32,3,47.85,18,29,Tablet,Medium
239,AI & ML,14,157,31,8,80.55,4,71,Tablet,Medium
240,AI & ML,2,34,60,3,73.59,35,69,Desktop,Low
241,Business,3,79,53,1,87.38,30,53,Desktop,Low
242,Data Science,6,72,16,3,84.33,44,55,Mobile,Low
243,Data Science,9,173,18,5,77.51,17,80,Desktop,Medium
244,Business,9,139,90,5,99.18,43,35,Mobile,Low
245,Business,7,159,69,4,72.02,30,98,Tablet,High
246,Business,12,25,98,0,46.79,29,37,Mobile,Low
247,Design,3,155,100,2,89.7,20,90,Mobile,Medium
248,Data Science,4,109,33,4,55.11,46,66,Tablet,Medium
249,Design,6,39,83,5,86.64,29,51,Tablet,Medium
250,Business,11,54,24,0,97.43,40,62,Tablet,High
251,Data Science,5,28,67,8,81.81,3,59,Mobile,High
252,Design,2,43,73,2,75.76,4,84,Desktop,Low
253,Design,13,150,73,9,67.62,40,54,Desktop,Low
254,Business,6,71,87,2,61.86,44,88,Desktop,Low
255,Data Science,3,127,84,10,61.18,9,69,Tablet,Medium
256,Business,14,109,10,1,78.18,26,31,Tablet,Low
257,Data Science,8,31,90,7,85.08,15,95,Desktop,Medium
258,AI & ML,2,120,15,2,80.71,29,77,Tablet,Low
259,Programming,1,173,89,5,51.9,12,82,Mobile,Medium
260,Programming,9,82,60,1,69.64,35,92,Mobile,Medium
261,Programming,14,156,93,6,87.5,20,68,Tablet,Medium
262,Business,12,47,79,3,68.54,44,55,Desktop,Medium
263,AI & ML,3,79,6,8,72.2,39,73,Desktop,Low
264,Data Science,11,125,15,9,86.27,44,66,Mobile,Low
265,Design,1,88,98,8,79.68,14,51,Tablet,Medium
266,Data Science,7,157,15,6,64.56,19,72,Desktop,Low
267,Design,13,18,39,11,93.72,19,51,Desktop,High
268,Data Science,10,41,11,7,49.75,44,81,Tablet,High
269,AI & ML,5,141,34,2,99.73,4,56,Tablet,High
270,Design,5,59,20,10,47.13,31,57,Desktop,Low
271,Business,14,91,49,4,40.9,5,49,Tablet,Medium
272,Data Science,1,14,42,1,93.4,29,77,Tablet,Low
273,Data Science,9,157,99,9,54.7,25,51,Tablet,Low
274,Design,7,96,16,6,83.78,36,85,Desktop,Low
275,Business,8,135,31,7,88.66,12,70,Mobile,Low
276,Business,9,84,40,8,91.54,28,30,Tablet,Low
277,AI & ML,6,174,5,10,99.5,4,78,Desktop,Low
278,Business,12,31,87,10,57.64,24,39,Mobile,High
279,Business,5,77,26,6,82.61,12,56,Desktop,Low
280,Business,6,53,19,9,46.92,23,92,Desktop,High
281,Programming,11,43,24,9,64.41,30,68,Desktop,Low
282,AI & ML,2,86,65,7,90.88,19,38,Mobile,Low
283,Data Science,4,51,8,11,62.06,7,74,Desktop,Medium
284,Design,3,146,91,8,75.47,8,59,Mobile,Medium
285,Data Science,13,115,52,5,70.23,20,26,Tablet,Low
286,AI & ML,7,104,60,11,78.76,19,24,Mobile,Low
287,Design,9,144,37,11,98.37,14,61,Desktop,Low
288,AI & ML,5,77,2,9,43.34,25,67,Mobile,Low
289,Business,6,156,83,1,74.44,41,26,Desktop,Medium
290,Design,10,168,69,1,91.78,10,30,Tablet,Medium
291,Business,14,137,96,3,68.88,36,92,Mobile,Low
292,Data Science,12,172,54,8,44.71,40,68,Tablet,High
293,Data Science,12,94,0,6,73.63,10,49,Mobile,Low
294,Design,2,168,100,1,59.92,26,60,Desktop,Medium
295,Design,3,92,69,7,49.3,29,22,Mobile,Medium
296,AI & ML,3,104,44,10,90.94,18,59,Tablet,High
297,AI & ML,12,41,97,6,71.3,33,70,Mobile,Low
298,Business,12,75,46,8,96.0,37,51,Tablet,Medium
299,Design,9,125,78,7,88.36,22,67,Tablet,Low
300,Data Science,7,147,25,2,81.58,0,90,Desktop,Medium
301,AI & ML,8,139,13,0,40.3,2,90,Mobile,Low
302,AI & ML,11,69,53,1,65.67,2,39,Tablet,Low
303,Data Science,10,26,70,1,51.85,27,54,Desktop,High
304,AI & ML,11,105,45,3,94.65,13,43,Desktop,Low
305,Business,9,153,30,5,50.48,29,59,Desktop,High
306,Design,6,25,87,3,57.16,4,96,Tablet,High
307,Data Science,4,55,58,8,71.01,48,71,Mobile,Medium
308,Design,12,176,94,3,55.8,14,58,Tablet,Low
309,AI & ML,1,168,28,5,52.59,37,87,Desktop,Low
310,AI & ML,8,116,95,5,75.95,13,80,Tablet,High
311,Data Science,7,97,16,9,45.34,13,95,Tablet,Low
312,Business,2,138,13,10,43.49,48,100,Desktop,Medium
313,Programming,8,148,35,9,62.33,7,84,Mobile,Medium
314,Data Science,12,128,57,0,83.24,7,81,Desktop,High
315,Programming,5,94,23,7,73.29,18,100,Desktop,Medium
316,Programming,7,13,62,11,65.37,31,21,Tablet,Medium
317,Business,4,80,90,2,73.95,30,25,Desktop,Low
318,Programming,5,163,24,5,61.93,28,94,Tablet,Low
319,Programming,8,120,58,2,96.17,40,62,Desktop,Low
320,Business,1,59,31,10,43.29,10,59,Desktop,High
321,Programming,1,149,81,1,80.4,44,58,Mobile,Medium
322,Programming,4,104,17,4,93.48,12,47,Desktop,Medium
323,Programming,3,101,36,0,88.23,26,99,Mobile,Medium
324,Data Science,13,74,25,8,51.04,18,82,Desktop,Medium
325,Data Science,10,56,8,10,57.76,25,83,Desktop,Low
326,Data Science,12,115,98,6,83.02,36,31,Desktop,Low
327,Business,2,139,63,2,45.06,47,60,Mobile,Low
328,AI & ML,12,115,71,3,88.71,8,48,Tablet,Medium
329,Programming,3,33,19,5,83.13,27,42,Mobile,Low
330,Programming,11,13,53,2,83.78,31,99,Desktop,Medium
331,Business,11,117,85,11,46.01,2,70,Tablet,Medium
332,Programming,14,28,82,6,83.07,31,64,Desktop,Low
333,Data Science,11,163,29,5,80.79,4,41,Mobile,Low
334,AI & ML,1,49,52,8,89.86,7,29,Mobile,Low
335,Design,1,59,91,11,42.5,13,26,Tablet,Low
336,Programming,6,84,98,4,41.39,2,92,Mobile,Medium
337,Data Science,5,21,62,3,62.38,23,34,Desktop,Low
338,Design,8,36,10,2,48.93,12,96,Tablet,High
339,AI & ML,2,122,30,9,73.5,42,65,Desktop,Medium
340,Design,4,58,48,0,95.04,28,80,Tablet,Low
341,Data Science,8,153,99,2,63.49,7,80,Tablet,Medium
342,Design,12,139,93,2,90.7,41,70,Desktop,Medium
343,Business,6,69,86,6,40.01,30,57,Mobile,Medium
344,Design,1,39,18,6,50.11,25,31,Desktop,Low
345,Programming,4,93,11,11,41.83,17,96,Mobile,Low
346,Programming,1,175,14,0,59.69,17,85,Mobile,Low
347,Business,13,37,30,2,94.49,6,73,Desktop,Low
348,Data Science,2,34,42,7,45.82,47,58,Tablet,Medium
349,Programming,5,105,100,8,76.38,37,95,Desktop,Medium
350,AI & ML,14,134,36,6,67.09,47,58,Tablet,High
351,Programming,8,19,78,6,96.31,15,97,Mobile,Low
352,Programming,8,51,28,11,47.35,32,49,Tablet,Low
353,Data Science,11,49,25,10,52.72,2,67,Desktop,Medium
354,Design,3,86,1,7,41.77,37,50,Tablet,Low
355,Programming,11,114,83,5,66.04,3,44,Mobile,Low
356,Business,13,127,14,10,56.67,35,87,Mobile,Medium
357,Design,4,51,3,2,92.19,3,70,Tablet,Low
358,AI & ML,10,56,85,0,76.3,41,32,Mobile,Medium
359,Data Science,11,174,49,6,76.85,8,82,Mobile,Low
360,AI & ML,14,31,37,0,71.91,39,61,Tablet,Medium
361,Design,6,116,22,0,45.51,16,73,Mobile,High
362,Design,11,36,58,8,66.7,16,86,Tablet,Low
363,Design,11,50,89,9,99.97,32,99,Tablet,High
364,AI & ML,10,89,74,6,90.11,19,75,Mobile,Medium
365,Design,3,171,27,10,93.61,13,38,Tablet,High
366,AI & ML,2,169,65,3,89.39,21,65,Mobile,Low
367,Design,6,98,7,5,46.18,26,34,Mobile,Medium
368,Business,11,75,28,0,53.65,42,51,Mobile,Low
369,Design,13,21,10,6,40.19,2,68,Desktop,Medium
370,AI & ML,5,177,100,11,58.21,23,40,Mobile,Medium
371,Programming,14,82,17,5,46.52,29,84,Tablet,Low
372,Design,10,85,54,3,68.37,7,89,Tablet,High
373,Programming,5,99,49,6,80.63,21,46,Tablet,Low
374,Business,10,19,13,2,92.47,24,42,Desktop,Low
375,Data Science,13,105,73,0,84.95,9,66,Desktop,Medium
376,Business,5,29,98,3,96.32,48,31,Tablet,Medium
377,Design,10,48,8,2,43.23,28,85,Tablet,Low
378,Programming,12,69,98,0,40.73,39,24,Desktop,Low
379,Programming,5,75,10,1,79.68,0,28,Tablet,High
380,AI & ML,3,74,62,10,57.36,20,39,Mobile,Medium
381,Programming,7,133,75,4,55.21,38,82,Mobile,Low
382,AI & ML,6,173,66,7,59.85,23,91,Tablet,Low
383,Data Science,4,161,52,0,56.19,8,92,Mobile,High
384,Design,2,164,38,3,70.69,43,90,Tablet,Medium
385,AI & ML,12,139,77,3,66.41,25,49,Desktop,High
386,Data Science,9,168,55,4,70.75,8,35,Tablet,Low
387,Programming,1,66,27,6,80.36,19,24,Desktop,Medium
388,Programming,13,87,74,11,63.23,34,48,Mobile,Medium
389,Data Science,13,38,38,7,55.08,35,66,Mobile,Low
390,Programming,11,24,24,5,49.97,41,41,Mobile,Medium
391,Data Science,14,21,20,0,60.97,35,97,Tablet,Medium
392,AI & ML,4,110,9,6,84.51,8,76,Desktop,Low
393,AI & ML,1,165,42,2,85.4,21,54,Desktop,High
394,Data Science,13,93,14,5,80.01,0,79,Mobile,High
395,AI & ML,6,134,82,7,54.04,4,89,Mobile,High
396,AI & ML,4,112,47,6,75.29,8,79,Desktop,High
397,AI & ML,5,33,85,9,74.24,36,77,Tablet,Low
398,Business,5,158,20,5,69.06,37,22,Mobile,Low
399,Design,9,147,59,8,73.0,18,53,Tablet,High
400,Programming,1,119,95,8,69.51,7,64,Mobile,Low
401,Business,13,87,49,0,73.93,41,69,Mobile,Low
402,AI & ML,2,110,22,0,82.93,42,21,Tablet,Medium
403,Data Science,13,155,12,0,46.58,31,34,Tablet,Low
404,AI & ML,6,151,68,7,84.98,12,56,Tablet,Medium
405,Design,5,171,3,11,48.15,19,34,Tablet,Low
406,AI & ML,11,137,91,11,44.0,35,79,Desktop,Low
407,Data Science,7,67,77,9,98.56,42,83,Desktop,High
408,Design,3,85,71,6,97.42,43,100,Mobile,Medium
409,AI & ML,3,159,8,2,43.63,36,71,Mobile,Medium
410,Design,10,45,34,1,66.6,29,42,Mobile,Medium
411,Programming,2,173,100,3,51.17,9,56,Desktop,High
412,Programming,13,31,20,2,69.12,30,60,Tablet,Medium
413,AI & ML,3,136,57,6,89.81,24,76,Mobile,Medium
414,Design,10,89,17,9,97.04,28,44,Desktop,High
415,Data Science,1,109,96,7,78.06,23,56,Mobile,Low
416,AI & ML,5,105,71,5,61.23,38,59,Desktop,High
417,Programming,14,170,80,2,76.2,20,65,Tablet,Low
418,Programming,12,173,42,5,58.72,40,79,Desktop,Medium
419,AI & ML,5,157,94,1,94.59,8,38,Tablet,Low
420,Design,12,27,97,11,92.22,41,28,Mobile,Medium
421,Programming,11,47,5,6,73.49,41,88,Tablet,Medium
422,Design,7,160,85,10,59.49,1,24,Desktop,High
423,Programming,4,118,77,9,57.6,3,45,Mobile,High
424,Programming,3,132,66,6,42.01,7,38,Mobile,High
425,Business,1,153,11,3,88.95,31,49,Desktop,Low
426,Programming,12,158,99,7,67.02,13,67,Tablet,High
427,Data Science,8,113,11,3,59.51,48,35,Desktop,Low
428,AI & ML,13,149,65,6,68.27,12,90,Tablet,High
429,AI & ML,3,153,1,3,89.12,20,37,Tablet,Low
430,Design,13,90,14,11,47.48,23,75,Mobile,Medium
431,Programming,2,96,22,4,91.46,49,40,Tablet,High
432,Data Science,11,151,28,6,93.85,17,50,Mobile,High
433,Design,4,70,80,9,96.8,44,20,Desktop,Medium
434,Business,3,55,95,2,63.85,39,22,Desktop,Medium
435,Design,13,41,6,9,53.03,25,44,Mobile,Low
436,Design,1,24,93,4,62.42,31,27,Mobile,Medium
437,Programming,3,53,27,10,59.97,43,84,Tablet,Medium
438,Business,12,154,13,2,50.57,32,81,Mobile,Low
439,Design,2,178,43,4,76.44,30,26,Desktop,Low
440,Data Science,8,63,29,2,68.6,17,26,Mobile,Low
441,Data Science,6,53,80,10,91.94,34,27,Mobile,Medium
442,AI & ML,9,107,31,9,41.93,11,38,Mobile,Low
443,Business,8,14,69,10,78.63,24,36,Tablet,Low
444,Business,10,118,87,6,85.78,44,30,Mobile,Low
445,AI & ML,3,36,5,0,85.57,30,68,Tablet,Medium
446,Design,5,125,26,8,93.16,9,30,Tablet,Medium
447,Business,7,96,81,8,83.74,46,60,Mobile,Medium
448,Data Science,5,113,87,4,95.67,33,81,Tablet,Medium
449,Data Science,8,132,100,8,59.96,2,71,Mobile,Low
450,Programming,12,88,23,9,70.19,45,85,Desktop,Low
451,Business,5,52,33,5,40.84,38,87,Desktop,High
452,Design,1,106,39,4,40.42,7,94,Tablet,Low
453,AI & ML,5,40,46,2,54.41,31,86,Desktop,Low
454,AI & ML,4,108,78,10,46.05,42,59,Mobile,Medium
455,Design,6,26,74,10,55.61,28,24,Tablet,Low
456,Programming,3,92,85,7,50.62,21,41,Mobile,High
